CustomerID,Gender,Age,Annual Income ($),Spending Score (1-100),Profession,Work Experience,Family Size
5000,Male,19,10000,39,Healthcare,1,4
5001,Male,21,10001,81,Engineer,3,3
5002,Female,20,10002,6,Engineer,1,1
5003,Female,23,10003,77,Lawyer,0,2
5004,Female,31,10004,40,Entertainment,2,6
5005,Female,22,10005,76,Artist,0,2
5006,Female,35,10006,6,Healthcare,1,3
5007,Female,23,10007,94,Healthcare,1,3
5008,Male,64,10008,3,Engineer,0,3
5009,Female,30,10009,72,Artist,1,4
5010,Male,67,10010,14,Engineer,1,3
5011,Female,35,10011,99,Healthcare,4,4
5012,Female,58,10012,15,Executive,0,5
5013,Female,24,10013,77,Lawyer,1,1
5014,Male,37,10014,13,Doctor,0,1
5015,Male,22,10015,79,Healthcare,1,2
5016,Female,35,10016,35,Homemaker,9,5
5017,Male,20,10017,66,Healthcare,1,6
5018,Male,52,10018,29,Entertainment,1,4
5019,Female,35,10019,98,Artist,0,1
5020,Male,35,10020,35,Homemaker,12,1
5021,Male,25,10021,73,Healthcare,3,4
5022,Female,46,10022,5,Artist,13,2
5023,Male,31,10023,73,Artist,5,2
5024,Female,54,10024,14,Executive,1,3
5025,Male,29,10025,82,Artist,1,3
5026,Female,45,10026,32,Healthcare,9,8
5027,Male,35,10027,61,Artist,1,3
5028,Female,40,10028,31,Artist,0,1
5029,Female,23,10029,87,Artist,5,4
5030,Male,60,10030,4,Artist,0,3
5031,Female,21,10031,73,Doctor,1,2
5032,Male,53,10032,4,Healthcare,1,3
5033,Male,18,10033,92,Homemaker,9,7
5034,Female,49,10034,14,Lawyer,1,2
5035,Female,21,10035,81,Healthcare,3,4
5036,Female,42,10036,17,Doctor,5,1
5037,Female,30,10037,73,Healthcare,1,5
5038,Female,36,10038,26,Artist,8,2
5039,Female,20,10039,75,Artist,8,2
5040,Female,65,10040,35,Artist,4,1
5041,Male,24,10041,92,Healthcare,0,2
5042,Male,48,10042,36,Artist,14,3
5043,Female,31,10043,61,Artist,1,2
5044,Female,49,10044,28,Engineer,8,1
5045,Female,24,10045,65,Lawyer,4,2
5046,Female,50,10046,55,Artist,0,4
5047,Female,27,10047,47,Healthcare,12,1
5048,Female,29,10048,42,Healthcare,0,4
5049,Female,31,10049,42,Engineer,1,1
5050,Female,49,10050,52,Artist,1,2
5051,Male,33,10051,60,Artist,1,2
5052,Female,31,10052,54,Artist,1,1
5053,Male,59,10053,60,Entertainment,0,2
5054,Female,50,10054,45,Marketing,1,1
5055,Male,47,10055,41,Artist,14,2
5056,Female,51,10056,50,Healthcare,9,4
5057,Male,69,10057,46,Doctor,8,2
5058,Female,27,10058,51,Artist,1,3
5059,Male,53,10059,46,Lawyer,1,6
5060,Male,70,10060,56,Artist,0,2
5061,Male,19,10061,55,Artist,9,2
5062,Female,67,10062,52,Lawyer,0,3
5063,Female,54,10063,59,Lawyer,1,2
5064,Male,63,10064,51,Lawyer,7,2
5065,Male,18,10065,59,Entertainment,0,2
5066,Female,43,10066,50,Doctor,0,2
5067,Female,68,10067,48,Artist,8,4
5068,Male,19,10068,59,Artist,0,4
5069,Female,32,10069,47,Homemaker,2,2
5070,Male,70,10070,55,Healthcare,8,2
5071,Female,47,10071,42,Entertainment,8,2
5072,Female,60,10072,49,Artist,0,5
5073,Female,60,10073,56,Healthcare,8,4
5074,Male,59,10074,47,Artist,0,4
5075,Male,26,10075,54,Homemaker,0,3
5076,Female,45,10076,53,Doctor,0,2
5077,Male,40,10077,48,Artist,4,3
5078,Female,23,10078,52,Engineer,2,2
5079,Female,49,10079,42,,1,1
5080,Male,57,10080,51,Healthcare,0,4
5081,Male,38,10081,55,Healthcare,6,3
5082,Male,67,10082,41,Artist,8,1
5083,Female,46,10083,44,Entertainment,8,4
5084,Female,21,10084,57,Marketing,1,3
5085,Male,48,10085,46,Healthcare,7,5
5086,Female,55,10086,58,Artist,0,3
5087,Female,22,10087,55,Artist,5,2
5088,Female,34,10088,60,Entertainment,7,3
5089,Female,50,10089,46,Doctor,0,2
5090,Female,68,10090,55,Entertainment,0,3
5091,Male,18,10091,41,Artist,1,4
5092,Male,48,10092,49,Artist,1,2
5093,Female,40,10093,40,Entertainment,1,2
5094,Female,32,10094,42,Artist,0,1
5095,Male,24,10095,52,Artist,10,1
5096,Female,47,10096,47,Artist,0,1
5097,Female,27,10097,50,Artist,0,2
5098,Male,48,10098,42,Doctor,1,2
5099,Male,20,10099,49,Engineer,3,3
5100,Female,23,10100,41,Artist,0,4
5101,Female,49,10101,48,Executive,1,7
5102,Male,67,10102,59,Artist,0,3
5103,Male,26,10103,55,Executive,0,5
5104,Male,49,10104,56,Healthcare,10,2
5105,Female,21,10105,42,Doctor,1,2
5106,Female,66,10106,50,Homemaker,3,2
5107,Male,54,10107,46,Lawyer,1,1
5108,Male,68,10108,43,Healthcare,6,5
5109,Male,66,10109,48,Healthcare,9,3
5110,Male,65,10110,52,Entertainment,4,4
5111,Female,19,10111,54,Artist,0,1
5112,Female,38,10112,42,Doctor,1,5
5113,Male,19,10113,46,Artist,1,1
5114,Female,18,10114,48,Executive,0,3
5115,Female,19,10115,50,Executive,8,4
5116,Female,63,10116,43,Lawyer,1,1
5117,Female,49,10117,59,Artist,0,2
5118,Female,51,10118,43,,2,7
5119,Female,50,10119,57,Artist,1,2
5120,Male,27,10120,56,Executive,0,3
5121,Female,38,10121,40,Executive,1,4
5122,Female,40,10122,58,Engineer,9,4
5123,Male,39,10123,91,Healthcare,1,3
5124,Female,23,10124,29,Entertainment,9,2
5125,Female,31,10125,77,Marketing,1,2
5126,Male,43,10126,35,Engineer,0,7
5127,Male,40,10127,95,Artist,0,2
5128,Male,59,10128,11,Engineer,0,2
5129,Male,38,10129,75,Entertainment,8,5
5130,Male,47,10130,9,Executive,9,5
5131,Male,39,10131,75,Lawyer,0,2
5132,Female,25,10132,34,Healthcare,6,4
5133,Female,31,10133,71,Artist,5,1
5134,Male,20,10134,5,Engineer,1,2
5135,Female,29,10135,88,Executive,5,5
5136,Female,44,10136,7,Artist,5,2
5137,Male,32,10137,73,Artist,3,4
5138,Male,19,10138,10,Marketing,8,4
5139,Female,35,10139,72,Artist,4,4
5140,Female,57,10140,5,Engineer,0,2
5141,Male,32,10141,93,Artist,0,5
5142,Female,28,10142,40,Doctor,5,3
5143,Female,32,10143,87,Lawyer,1,2
5144,Male,25,10144,12,Engineer,0,5
5145,Male,28,10145,97,Marketing,8,5
5146,Male,48,10146,36,Engineer,9,2
5147,Female,32,10147,74,Lawyer,1,1
5148,Female,34,10148,22,Healthcare,7,4
5149,Male,34,10149,90,Artist,6,3
5150,Male,43,10150,17,Lawyer,0,9
5151,Male,39,10151,88,Engineer,0,1
5152,Female,44,10152,20,Engineer,0,2
5153,Female,38,10153,76,Artist,2,2
5154,Female,47,10154,16,Healthcare,0,4
5155,Female,27,10155,89,Marketing,8,4
5156,Male,37,10156,1,Executive,1,1
5157,Female,30,10157,78,Artist,3,4
5158,Male,34,10158,1,Lawyer,1,2
5159,Female,30,10159,73,Artist,3,3
5160,Female,56,10160,35,Artist,1,1
5161,Female,29,10161,83,Healthcare,1,5
5162,Male,19,10162,5,Executive,0,5
5163,Female,31,10163,93,Healthcare,1,5
5164,Male,50,10164,26,Doctor,0,2
5165,Female,36,10165,75,Artist,5,3
5166,Male,42,10166,20,Homemaker,9,3
5167,Female,33,10167,95,Artist,0,5
5168,Female,36,10168,27,Artist,0,3
5169,Male,32,10169,63,Artist,2,2
5170,Male,40,10170,13,Artist,3,5
5171,Male,28,10171,75,Executive,0,2
5172,Male,36,10172,10,Lawyer,0,2
5173,Male,36,10173,92,Artist,5,2
5174,Female,52,10174,13,Lawyer,0,2
5175,Female,30,10175,86,Artist,3,4
5176,Male,58,10176,15,Engineer,11,1
5177,Male,27,10177,69,Healthcare,2,6
5178,Male,59,10178,14,Healthcare,4,3
5179,Male,35,10179,90,Engineer,8,1
5180,Female,37,10180,32,Artist,7,2
5181,Female,32,10181,86,Entertainment,7,5
5182,Male,46,10182,15,Artist,7,1
5183,Female,29,10183,88,Artist,4,4
5184,Female,41,10184,39,Artist,1,1
5185,Male,30,10185,97,Artist,6,2
5186,Female,54,10186,24,Lawyer,1,2
5187,Male,28,10187,68,Doctor,5,3
5188,Female,41,10188,17,Engineer,8,2
5189,Female,36,10189,85,Artist,4,2
5190,Female,34,10190,23,Artist,5,3
5191,Female,32,10191,69,Artist,8,2
5192,Male,33,10192,8,Executive,9,2
5193,Female,38,10193,91,Artist,10,4
5194,Female,47,10194,16,Artist,7,2
5195,Female,35,10195,79,Executive,1,3
5196,Female,45,10196,28,Artist,0,2
5197,Male,32,10197,74,Artist,1,5
5198,Male,32,10198,18,Executive,1,2
5199,Male,30,10199,83,Artist,4,2
5200,Female,21,10200,10,Healthcare,0,3
5201,Male,34,10201,16,Healthcare,9,3
5202,Female,16,10202,0,Engineer,6,8
5203,Female,76,10203,39,Healthcare,4,2
5204,Female,62,10204,59,Entertainment,0,2
5205,Female,63,10205,52,Healthcare,8,3
5206,Female,19,10206,61,Healthcare,0,3
5207,Male,46,10207,12,Artist,2,1
5208,Female,48,10208,7,Doctor,0,2
5209,Female,80,10209,33,Engineer,9,4
5210,Female,1,10210,93,Engineer,1,2
5211,Female,0,10211,92,Artist,2,1
5212,Male,86,10212,70,Marketing,2,4
5213,Male,49,10213,82,Lawyer,8,1
5214,Male,48,10214,68,Doctor,2,4
5215,Female,46,10215,70,Healthcare,3,3
5216,Male,79,10216,40,Doctor,6,2
5217,Female,83,10217,99,Doctor,8,2
5218,Female,66,10218,34,Executive,9,2
5219,Female,59,10219,61,,9,1
5220,Female,39,10220,33,Artist,5,3
5221,Female,95,10221,51,Engineer,4,2
5222,Male,43,10222,55,Artist,4,3
5223,Female,93,10223,37,Healthcare,1,5
5224,Female,40,10224,48,Homemaker,4,1
5225,Female,78,10225,8,Engineer,1,1
5226,Female,25,10226,77,Artist,5,4
5227,Male,76,10227,86,Healthcare,9,4
5228,Male,0,10228,64,Marketing,1,1
5229,Male,15,10229,30,Healthcare,7,2
5230,Female,6,10230,53,Lawyer,8,2
5231,Male,84,10231,28,Healthcare,0,4
5232,Female,67,10232,88,Lawyer,0,2
5233,Female,78,10233,14,Healthcare,0,4
5234,Female,4,10234,54,Artist,9,1
5235,Female,29,10235,34,Healthcare,0,4
5236,Male,91,10236,96,Healthcare,1,5
5237,Male,95,10237,35,,0,4
5238,Male,55,10238,74,Lawyer,1,4
5239,Female,14,10239,11,Artist,1,2
5240,Male,92,10240,16,Executive,1,5
5241,Female,65,10241,17,Artist,0,3
5242,Female,84,10242,14,Healthcare,1,4
5243,Female,77,10243,58,Artist,0,6
5244,Female,53,10244,20,Artist,0,4
5245,Female,28,10245,75,Entertainment,7,2
5246,Male,23,10246,96,Doctor,1,3
5247,Female,32,10247,16,Artist,1,2
5248,Female,37,10248,2,Artist,1,2
5249,Female,89,10249,0,Engineer,0,5
5250,Male,80,10250,93,Engineer,1,3
5251,Female,27,10251,65,Doctor,8,1
5252,Female,78,10252,14,Artist,5,4
5253,Female,86,10253,13,Lawyer,7,3
5254,Female,46,10254,32,Engineer,4,4
5255,Male,59,10255,49,Lawyer,4,2
5256,Male,12,10256,18,Executive,10,1
5257,Male,79,10257,96,Homemaker,6,7
5258,Female,79,10258,64,Artist,2,3
5259,Male,26,10259,60,Executive,6,4
5260,Female,63,10260,16,Artist,2,3
5261,Female,52,10261,85,Doctor,2,6
5262,Female,32,10262,24,Lawyer,2,3
5263,Female,64,10263,38,Engineer,3,4
5264,Female,37,10264,10,Homemaker,1,7
5265,Male,7,10265,39,Entertainment,2,2
5266,Female,40,10266,68,Artist,1,1
5267,Female,78,10267,79,Artist,0,3
5268,Female,34,10268,76,Entertainment,6,6
5269,Female,52,10269,39,Artist,1,2
5270,Male,94,10270,36,Entertainment,0,4
5271,Female,1,10271,82,Doctor,0,3
5272,Female,96,10272,76,Entertainment,0,3
5273,Female,18,10273,99,Artist,0,2
5274,Female,37,10274,57,Artist,1,2
5275,Male,78,10275,89,Lawyer,1,2
5276,Male,16,10276,88,Executive,7,4
5277,Male,93,10277,21,Artist,1,1
5278,Female,74,10278,12,Engineer,9,3
5279,Male,68,10279,73,Healthcare,3,3
5280,Female,32,10280,87,Executive,1,4
5281,Female,43,10281,63,Marketing,1,2
5282,Female,52,10282,58,Artist,1,3
5283,Female,63,10283,20,Artist,1,2
5284,Female,33,10284,11,Healthcare,0,1
5285,Male,86,10285,40,Artist,0,1
5286,Female,85,10286,84,Entertainment,1,1
5287,Female,73,10287,47,Healthcare,1,2
5288,Female,21,10288,91,Marketing,0,1
5289,Female,93,10289,58,Engineer,1,3
5290,Male,9,10290,62,Entertainment,7,1
5291,Female,10,10291,80,Doctor,6,3
5292,Male,11,10292,66,Artist,8,8
5293,Female,48,10293,36,Engineer,6,4
5294,Female,73,10294,73,Entertainment,2,2
5295,Female,66,10295,43,Executive,9,3
5296,Female,79,10296,91,Engineer,3,3
5297,Male,62,10297,41,Doctor,6,2
5298,Male,17,10298,16,Artist,1,3
5299,Male,32,10299,86,Entertainment,5,2
5300,Male,85,10300,100,Entertainment,3,3
5301,Male,31,10301,16,Healthcare,5,2
5302,Female,31,10302,73,Healthcare,6,3
5303,Female,38,10303,7,Healthcare,5,2
5304,Female,90,10304,21,Lawyer,1,2
5305,Female,65,10305,26,Marketing,6,2
5306,Female,63,10306,12,Artist,4,2
5307,Female,61,10307,14,Doctor,0,2
5308,Male,26,10308,83,Engineer,8,4
5309,Female,17,10309,65,Engineer,1,4
5310,Male,56,10310,15,Executive,5,6
5311,Female,12,10311,30,Engineer,5,4
5312,Female,24,10312,100,Lawyer,5,1
5313,Female,13,10313,9,Executive,9,4
5314,Male,12,10314,77,Doctor,2,3
5315,Male,72,10315,93,Lawyer,9,2
5316,Female,54,10316,8,Homemaker,4,4
5317,Male,45,10317,91,Artist,7,2
5318,Male,66,10318,44,Marketing,8,1
5319,Female,27,10319,56,Healthcare,8,4
5320,Male,36,10320,21,Engineer,10,2
5321,Male,5,10321,60,Lawyer,13,1
5322,Female,89,10322,100,Healthcare,2,4
5323,Male,13,10323,94,Doctor,6,1
5324,Female,91,10324,40,Artist,4,1
5325,Male,16,10325,7,Artist,3,1
5326,Female,63,10326,90,Engineer,7,1
5327,Male,52,10327,39,Engineer,4,2
5328,Female,37,10328,58,Healthcare,1,5
5329,Female,78,10329,2,Artist,2,3
5330,Male,24,10330,33,Engineer,0,4
5331,Female,4,10331,62,Engineer,3,4
5332,Male,84,10332,67,Healthcare,0,5
5333,Male,0,10333,96,Artist,0,4
5334,Female,67,10334,58,Entertainment,10,2
5335,Female,32,10335,30,Healthcare,8,3
5336,Female,39,10336,75,Healthcare,1,5
5337,Female,68,10337,62,Healthcare,0,2
5338,Female,7,10338,28,Doctor,14,1
5339,Female,76,10339,55,Artist,8,2
5340,Female,84,10340,99,Artist,3,1
5341,Male,75,10341,82,Entertainment,1,4
5342,Male,22,10342,61,Artist,0,1
5343,Female,90,10343,61,Engineer,1,1
5344,Female,4,10344,99,Healthcare,1,8
5345,Female,78,10345,84,Lawyer,0,3
5346,Female,58,10346,22,Healthcare,9,1
5347,Female,99,10347,41,Artist,9,1
5348,Female,24,10348,39,Marketing,2,5
5349,Female,88,10349,98,Artist,13,4
5350,Female,92,10350,91,Artist,9,4
5351,Male,99,10351,4,Engineer,13,1
5352,Female,51,10352,98,Lawyer,7,1
5353,Male,23,10353,35,Healthcare,14,3
5354,Female,13,10354,75,Doctor,9,1
5355,Male,22,10355,20,Engineer,6,1
5356,Female,89,10356,87,Homemaker,11,4
5357,Male,20,10357,51,Marketing,13,5
5358,Female,72,10358,19,Lawyer,9,3
5359,Male,17,10359,71,Healthcare,9,3
5360,Male,90,10360,18,Artist,8,3
5361,Male,99,10361,61,Entertainment,1,2
5362,Female,39,10362,73,Engineer,4,3
5363,Female,37,10363,56,Entertainment,1,2
5364,Male,46,10364,85,Artist,1,2
5365,Male,65,10365,72,Healthcare,0,2
5366,Female,60,10366,30,Artist,1,1
5367,Female,93,10367,74,Executive,12,3
5368,Male,72,10368,15,Healthcare,9,5
5369,Female,36,10369,25,Entertainment,1,5
5370,Male,52,10370,61,Artist,8,1
5371,Female,72,10371,49,Entertainment,1,2
5372,Female,28,10372,5,Lawyer,2,1
5373,Female,48,10373,92,Doctor,6,4
5374,Male,85,10374,43,Doctor,6,4
5375,Male,22,10375,83,Artist,8,1
5376,Female,30,10376,78,Doctor,1,1
5377,Male,46,10377,64,Artist,1,2
5378,Female,82,10378,77,Artist,2,2
5379,Female,73,10379,51,Entertainment,0,1
5380,Male,8,10380,2,Artist,5,1
5381,Male,90,10381,8,Engineer,0,2
5382,Male,34,10382,26,Artist,0,6
5383,Female,10,10383,43,Artist,0,2
5384,Female,79,10384,83,Artist,1,3
5385,Male,83,10385,97,Artist,1,2
5386,Female,20,10386,18,Artist,15,3
5387,Female,25,10387,5,Artist,15,2
5388,Female,26,10388,8,Healthcare,16,2
5389,Female,18,10389,23,Doctor,13,1
5390,Female,7,10390,10,Artist,7,1
5391,Male,1,10391,1,Doctor,12,2
5392,Male,21,10392,30,Artist,17,4
5393,Female,86,10393,31,Artist,9,4
5394,Female,75,10394,82,Artist,15,1
5395,Male,78,10395,52,Lawyer,13,1
5396,Female,87,10396,69,Homemaker,6,4
5397,Female,8,10397,41,Entertainment,14,3
5398,Male,59,10398,28,Executive,5,3
5399,Male,13,10399,77,Artist,15,2
5400,Female,55,10400,35,Engineer,16,1
5401,Female,50,10401,92,Healthcare,11,7
5402,Male,54,10402,95,Doctor,13,2
5403,Male,13,10403,46,Doctor,14,3
5404,Male,79,10404,45,Engineer,5,5
5405,Female,65,10405,11,Artist,17,6
5406,Female,51,10406,73,Executive,15,3
5407,Male,18,10407,36,Executive,16,4
5408,Male,21,10408,87,Healthcare,2,3
5409,Male,37,10409,93,Healthcare,7,4
5410,Male,83,10410,83,Entertainment,0,2
5411,Female,96,10411,31,Lawyer,0,4
5412,Female,65,10412,88,Artist,0,4
5413,Male,80,10413,44,Marketing,1,7
5414,Female,75,10414,5,Lawyer,1,5
5415,Female,87,10415,78,Engineer,1,4
5416,Female,86,10416,12,Artist,0,1
5417,Female,36,10417,25,Artist,8,5
5418,Female,78,10418,40,Homemaker,9,7
5419,Female,62,10419,69,Entertainment,1,2
5420,Male,89,10420,19,Healthcare,1,1
5421,Female,56,10421,96,Entertainment,0,6
5422,Female,35,10422,34,Artist,5,4
5423,Male,33,10423,71,Artist,1,4
5424,Female,58,10424,71,Entertainment,7,7
5425,Female,68,10425,93,Artist,1,2
5426,Male,38,10426,32,Entertainment,2,3
5427,Male,31,10427,57,Doctor,1,5
5428,Male,90,10428,4,Entertainment,1,1
5429,Male,28,10429,24,Engineer,1,1
5430,Male,1,10430,85,Healthcare,7,4
5431,Male,78,10431,78,Executive,10,7
5432,Female,23,10432,32,Artist,3,5
5433,Female,25,10433,62,Artist,4,1
5434,Male,59,10434,38,Engineer,5,5
5435,Female,7,10435,76,Doctor,1,7
5436,Female,24,10436,41,Lawyer,0,1
5437,Male,76,10437,14,,0,7
5438,Male,37,10438,93,Entertainment,1,6
5439,Female,6,10439,91,Artist,0,1
5440,Female,0,10440,29,,0,7
5441,Male,3,10441,47,Artist,1,1
5442,Female,95,10442,88,Artist,0,3
5443,Female,0,10443,16,Lawyer,1,4
5444,Male,7,10444,86,Artist,13,3
5445,Male,54,10445,87,Artist,7,6
5446,Male,89,10446,24,Engineer,15,1
5447,Female,58,10447,91,Engineer,6,1
5448,Female,12,10448,64,Artist,13,5
5449,Male,7,10449,80,Healthcare,8,2
5450,Male,11,10450,40,Healthcare,8,6
5451,Male,74,10451,55,Engineer,7,4
5452,Female,64,10452,20,Healthcare,7,2
5453,Female,48,10453,50,Lawyer,10,7
5454,Female,8,10454,38,Artist,1,5
5455,Female,15,10455,99,Artist,14,6
5456,Male,1,10456,7,Artist,0,1
5457,Female,21,10457,86,Artist,6,6
5458,Male,84,10458,44,Marketing,3,4
5459,Female,5,10459,28,Doctor,4,6
5460,Female,47,10460,56,Lawyer,0,7
5461,Female,96,10461,29,Healthcare,0,7
5462,Male,93,10462,96,Artist,2,4
5463,Female,16,10463,11,Entertainment,1,4
5464,Male,56,10464,41,Marketing,0,5
5465,Female,76,10465,31,Engineer,1,2
5466,Male,0,10466,80,Doctor,15,2
5467,Female,70,10467,53,Executive,12,5
5468,Female,47,10468,12,Artist,4,3
5469,Male,13,10469,22,Healthcare,11,4
5470,Male,86,10470,46,Homemaker,10,5
5471,Male,91,10471,28,Artist,15,7
5472,Male,97,10472,50,Healthcare,8,2
5473,Male,20,10473,92,Artist,17,5
5474,Female,11,10474,92,Healthcare,5,4
5475,Female,28,10475,45,Lawyer,9,2
5476,Male,32,10476,42,Artist,0,7
5477,Male,82,10477,30,Lawyer,0,6
5478,Male,39,10478,66,Healthcare,3,6
5479,Male,7,10479,85,Entertainment,2,1
5480,Female,13,10480,71,Artist,6,3
5481,Female,34,10481,43,Healthcare,9,6
5482,Male,76,10482,81,Healthcare,0,2
5483,Female,30,10483,60,Healthcare,1,1
5484,Female,69,10484,34,Healthcare,1,7
5485,Male,22,10485,59,Homemaker,2,4
5486,Female,60,10486,81,Artist,1,6
5487,Male,66,10487,25,Artist,0,1
5488,Female,57,10488,34,Artist,9,1
5489,Female,60,10489,81,Healthcare,1,4
5490,Female,59,10490,97,Artist,3,4
5491,Female,54,10491,88,Lawyer,3,1
5492,Male,90,10492,6,Artist,4,2
5493,Female,14,10493,20,Artist,0,4
5494,Female,34,10494,54,Entertainment,1,7
5495,Female,85,10495,17,Healthcare,12,4
5496,Female,83,10496,65,Doctor,1,1
5497,Male,12,10497,96,Homemaker,3,3
5498,Male,95,10498,3,,12,3
5499,Male,41,10499,91,Artist,6,7
5500,Female,38,10500,96,Healthcare,6,3
5501,Male,68,10501,61,Healthcare,8,5
5502,Female,4,10502,21,Healthcare,0,7
5503,Female,5,10503,17,Artist,1,3
5504,Female,3,10504,10,Doctor,1,2
5505,Female,20,10505,90,Executive,1,3
5506,Female,3,10506,30,Executive,1,1
5507,Male,36,10507,16,Healthcare,1,5
5508,Female,70,10508,63,Artist,1,1
5509,Female,17,10509,47,Artist,1,5
5510,Female,31,10510,17,Artist,6,1
5511,Female,48,10511,96,Entertainment,0,1
5512,Male,28,10512,29,Marketing,0,1
5513,Male,97,10513,70,Healthcare,9,3
5514,Male,81,10514,1,Artist,1,2
5515,Female,37,10515,91,Artist,0,2
5516,Male,85,10516,87,Entertainment,1,1
5517,Female,78,10517,94,Homemaker,14,7
5518,Female,13,10518,2,Entertainment,13,3
5519,Female,53,10519,38,Healthcare,1,5
5520,Female,41,10520,49,Entertainment,1,3
5521,Female,9,10521,60,Engineer,1,1
5522,Male,20,10522,2,Healthcare,8,2
5523,Female,98,10523,63,Doctor,1,5
5524,Female,44,10524,2,Healthcare,8,6
5525,Female,66,10525,59,Healthcare,15,5
5526,Female,58,10526,74,Healthcare,0,3
5527,Male,97,10527,21,Artist,9,6
5528,Male,13,10528,17,Doctor,0,3
5529,Male,48,10529,92,Artist,2,2
5530,Female,47,10530,44,Artist,0,7
5531,Male,93,10531,66,Doctor,14,5
5532,Female,11,10532,45,Engineer,3,2
5533,Female,68,10533,59,Doctor,1,6
5534,Female,87,10534,73,Artist,0,1
5535,Female,22,10535,17,Entertainment,1,2
5536,Male,89,10536,33,Doctor,1,2
5537,Male,57,10537,92,Engineer,9,5
5538,Male,91,10538,14,Artist,4,2
5539,Female,84,10539,95,Artist,1,7
5540,Male,56,10540,51,Executive,0,4
5541,Female,26,10541,30,Executive,1,2
5542,Female,56,10542,87,Artist,1,5
5543,Female,6,10543,23,Artist,3,2
5544,Female,33,10544,1,Entertainment,1,1
5545,Female,89,10545,26,,10,6
5546,Male,99,10546,83,Engineer,0,2
5547,Female,25,10547,85,Artist,2,1
5548,Female,96,10548,40,Entertainment,1,7
5549,Female,35,10549,88,Homemaker,5,2
5550,Male,16,10550,65,Marketing,0,3
5551,Female,81,10551,12,Doctor,1,7
5552,Female,7,10552,59,Homemaker,1,7
5553,Female,31,10553,62,Marketing,1,1
5554,Female,16,10554,62,Healthcare,1,3
5555,Male,89,10555,99,Artist,0,4
5556,Male,84,10556,63,Engineer,0,6
5557,Male,40,10557,96,Artist,0,7
5558,Female,17,10558,5,Healthcare,8,5
5559,Male,0,10559,89,Artist,0,6
5560,Female,69,10560,52,Artist,1,7
5561,Female,17,10561,12,Lawyer,11,6
5562,Female,0,10562,25,Entertainment,8,1
5563,Female,34,10563,3,Entertainment,9,5
5564,Female,51,10564,100,Healthcare,15,1
5565,Male,54,10565,67,Healthcare,1,7
5566,Female,19,10566,14,Artist,17,5
5567,Female,99,10567,13,Engineer,0,3
5568,Female,2,10568,82,Healthcare,4,3
5569,Female,91,10569,37,Engineer,8,1
5570,Male,65,10570,65,Artist,1,6
5571,Female,47,10571,24,Executive,4,5
5572,Female,91,10572,61,Artist,4,5
5573,Female,64,10573,31,Artist,1,3
5574,Female,91,10574,23,Artist,1,6
5575,Male,32,10575,34,Artist,6,3
5576,Male,15,10576,98,Engineer,8,5
5577,Male,22,10577,84,Artist,8,3
5578,Female,37,10578,89,Healthcare,4,4
5579,Male,83,10579,53,Lawyer,4,5
5580,Female,89,10580,1,Marketing,5,1
5581,Female,33,10581,67,Artist,9,4
5582,Female,13,10582,62,Entertainment,12,5
5583,Female,71,10583,56,Doctor,6,2
5584,Female,10,10584,85,Marketing,15,7
5585,Male,49,10585,98,Artist,5,4
5586,Female,9,10586,75,Executive,10,2
5587,Female,53,10587,2,Lawyer,16,3
5588,Female,63,10588,25,Healthcare,12,5
5589,Female,46,10589,14,Healthcare,11,5
5590,Male,42,10590,52,Artist,15,3
5591,Female,73,10591,31,Entertainment,7,5
5592,Male,75,10592,16,Executive,10,7
5593,Female,49,10593,41,Doctor,15,1
5594,Female,96,10594,77,Engineer,8,5
5595,Female,52,10595,88,Executive,14,3
5596,Female,15,10596,51,Entertainment,5,7
5597,Male,91,10597,40,Entertainment,15,7
5598,Male,22,10598,29,Entertainment,7,3
5599,Male,62,10599,87,Healthcare,8,1
5600,Male,41,10600,85,Doctor,16,1
5601,Male,61,10601,20,,11,4
5602,Female,71,10602,32,Artist,7,7
5603,Female,91,10603,78,Lawyer,17,6
5604,Female,94,10604,68,Executive,7,6
5605,Female,3,10605,31,Healthcare,13,3
5606,Female,15,10606,72,Artist,8,7
5607,Female,96,10607,57,Executive,2,1
5608,Male,12,10608,77,Artist,9,2
5609,Female,23,10609,83,Doctor,0,7
5610,Male,94,10610,17,Artist,5,7
5611,Female,7,10611,12,Artist,0,6
5612,Female,74,10612,36,Lawyer,0,5
